,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
161,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"6d,",6,b38,s1,f1,f3,b3,s3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"6d,",6,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,f17,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,6,f37,s2,f1,f1,f1,r2,s2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"4w,",5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,4,f27,f+3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,6,f19,f3,b3,b3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"6n,",c5,b28,b1,f1,f1,f2,b3,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,4,s37,y3,i2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,6,b38,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"4w,",4,b29,f2,f2,b2,f3,b2,b3,b3,b2,f1,f1,f+3,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,6,s29,f2,f3,b3,s3,s3,s3,s3,s3,s3,s3,s2,f3,b3,b1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,6,f27,f+1,f3,z2,f1,v;1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"4w,",6,b28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,6,r38,f3,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,4,f18,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,c4,f28,f+3,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,6,f28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"4d,",5,b28,b1,f3,b3,b3,b3,b1,r1,f+3,s2,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,4,b27,f1,f1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"6w,",5,b18,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"6w,",4,b39,b2,b1,f2,b1,f2,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"6d,",5,b17,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"6w,",5,r1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"6n,",5,f28,f1,f2,f3,b1,r1,f1,f1,f3,b2,b3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,6,f29,f3,b3,f3,b3,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,6,b17,f+3,b3,z^1,f-3,z1,z^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
